fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Bitsquatting,eoogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,coogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,ooogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,woogle.com,107.161.23.204,,,ns1.dnsowl.com,,,,
Bitsquatting,gnogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gmogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gkogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,ggogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gongle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gomgle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gokgle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,goggle.com,54.221.207.100,,exchange.dewile.net,ns3.domainmanager.com,,,,
Bitsquatting,goofle.com,192.185.39.34,,mail.goofle.com,ns8197.hostgator.com,,,,
Bitsquatting,gooele.com,,,,ns1.googledomains.com,,,,
Bitsquatting,goocle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gooole.com,98.124.199.61,,,dns1.name-services.com,,,,
Bitsquatting,goowle.com,185.53.179.6,,mail.h-email.net,ns1.parkingcrew.net,,,,
Bitsquatting,googme.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Bitsquatting,googne.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googhe.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Bitsquatting,googde.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googld.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googlg.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googla.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googlm.com,23.225.212.221,,,f1g1ns1.dnspod.net,,,,
Bitsquatting,googlu.com,,,,ns1.googledomains.com,,,,
Homoglyph,goog1e.com,,,,ns1.googledomains.com,,,,
Homoglyph,g00gle.com,,,,ns1.googledomains.com,,,,
Homoglyph,googie.com,209.17.116.2,,inbound.registeredsite.com,ns23.worldnic.com,,,,
Homoglyph,g0ogle.com,98.124.199.83,,,dns1.name-services.com,,,,
Homoglyph,go0gle.com,,,,ns1.googledomains.com,,,,
Homoglyph,qoogle.com,,,,ns1.google.com,,,,
Homoglyph,gooqle.com,72.52.178.23,,mx156.hostedmxserver.com,ns1.parklogic.com,,,,
Homoglyph,qooqle.com,95.211.219.66,,,ns1.hastydns.com,,,,
Hyphenation,g-oogle.com,185.161.210.42,,aspmx.l.google.com,dns1.registrar-servers.com,,,,
Hyphenation,go-ogle.com,66.96.149.22,,mx.go-ogle.com,ns1.mydomain.com,,,,
Hyphenation,goo-gle.com,,,,ns1.google.com,,,,
Hyphenation,goog-le.com,74.208.236.69,,mx00.1and1.com,ns1065.ui-dns.org,,,,
Hyphenation,googl-e.com,,,,,,,,
Insertion,googzle.com,72.52.178.23,,allmail.parklogic.com,dns.rebel.com,,,,
Insertion,googtle.com,,,,ns1.googledomains.com,,,,
Insertion,googvle.com,103.224.182.207,,park-mx.above.com,ns1.above.com,,,,
Insertion,gioogle.com,207.174.213.34,,,info267476.mercury.orderbox-dns.com,,,,
Insertion,goiogle.com,,,,ns1.googledomains.com,,,,
Insertion,goozgle.com,192.184.12.62,,park-mx.above.com,ns1.above.com,,,,
Insertion,goobgle.com,185.53.178.24,,mail.h-email.net,ns1.parkingcrew.net,,,,
Insertion,goo0gle.com,54.235.212.68,,mail.goo0gle.com,ns1.pql.net,,,,
Insertion,goopgle.com,95.211.219.66,,,ns1.hastydns.com,,,,
Insertion,gooigle.com,,,,ns1.googledomains.com,,,,
Insertion,gpoogle.com,104.171.24.25,,,myns1.fabulous.com,,,,
Insertion,goovgle.com,192.190.80.121,,goovgle.com,ns1.vpshostinglist.com,,,,
Insertion,gootgle.com,54.235.212.68,,mail.gootgle.com,ns1.pql.net,,,,
Insertion,gkoogle.com,185.42.173.248,,,ns17.domaincontrol.com,,,,
Insertion,goolgle.com,,,,ns1.google.com,,,,
Insertion,gopogle.com,107.161.23.204,,,ns1.dnsowl.com,,,,
Insertion,googyle.com,93.115.28.104,,,ns1.rentondc.com,,,,
Insertion,gooygle.com,,,,ns1.googledomains.com,,,,
Insertion,goohgle.com,83.64.127.75,,,maceio.porkbun.com,,,,
Insertion,googple.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Insertion,go0ogle.com,216.157.88.22,,,ns1.smtmdns.com,,,,
Insertion,g0oogle.com,109.201.133.56,,,ns1.wombatdns.com,,,,
Insertion,gokogle.com,192.184.12.62,,park-mx.above.com,ns1.above.com,,,,
Insertion,googkle.com,,,,ns1.googledomains.com,,,,
Insertion,googfle.com,184.168.131.241,,,ns63.domaincontrol.com,,,,
Insertion,g9oogle.com,199.59.242.151,,,ns1cnb.name.com,,,,
Insertion,goofgle.com,185.53.178.7,,mail.h-email.net,ns1.parkingcrew.net,,,,
Insertion,googlpe.com,103.224.182.207,,park-mx.above.com,ns1.above.com,,,,
Insertion,googloe.com,64.32.8.67,,,ns1.chookdns.com,,,,
Insertion,googlke.com,107.161.23.204,,,ns1.dnsowl.com,,,,
Insertion,googmle.com,67.227.226.240,,,ns1.parklogic.com,,,,
Insertion,googlme.com,185.53.179.7,,mail.h-email.net,ns1.parkingcrew.net,,,,
Insertion,gookgle.com,72.52.4.119,,localhost,ns1.sedoparking.com,,,,
Insertion,googble.com,208.97.176.179,,,ns1.dreamhost.com,,,,
Insertion,googole.com,,,,ns1.googledomains.com,,,,
Insertion,gologle.com,,,,ns1.googledomains.com,,,,
Insertion,gloogle.com,,,,ns1.googledomains.com,,,,
Insertion,googhle.com,172.98.192.35,,,ns1.rentondc.com,,,,
Insertion,goo9gle.com,207.244.65.58,,,ns1.brainydns.com,,,,
Insertion,go9ogle.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Omission,googe.com,162.243.10.151,,,ns1.yourdoor.com,,,,
Omission,gogle.com,172.217.161.4,2404:6800:4002:803::2004,,ns1.google.com,,,,
Omission,goole.com,217.160.0.201,,mx00.1and1.co.uk,ns1083.ui-dns.de,,,,
Omission,oogle.com,104.28.28.162,2606:4700:30::681c:1ca2,mx.zoho.com,amir.ns.cloudflare.com,,,,
Omission,googl.com,172.217.167.36,2404:6800:4002:805::2004,,ns1.google.com,,,,
Repetition,googgle.com,,,,ns1.googledomains.com,,,,
Repetition,ggoogle.com,172.217.166.196,2404:6800:4002:80b::2004,,ns1.google.com,,,,
Repetition,gooogle.com,172.217.160.228,2404:6800:4002:808::2004,,ns1.google.com,,,,
Repetition,googlle.com,54.221.207.100,,mx94.mb1p.com,ns3.domainmanager.com,,,,
Replacement,goohle.com,47.254.33.193,,,ns3.dns.com,,,,
Replacement,g9ogle.com,103.224.182.238,,park-mx.above.com,ns1.above.com,,,,
Replacement,hoogle.com,107.180.25.196,,smtp.secureserver.net,ns41.domaincontrol.com,,,,
Replacement,goigle.com,109.201.133.71,,,ns1.koaladns.com,,,,
Replacement,glogle.com,208.73.210.202,,,ns1.dsredirection.com,,,,
Replacement,giogle.com,52.72.134.188,,,ns1.namebrightdns.com,,,,
Replacement,googlw.com,,,mx.googlw.com.cust.a.hostedemail.com,dns1.name-services.com,,,,
Replacement,golgle.com,95.211.219.67,,,ns1.hastydns.com,,,,
Replacement,toogle.com,107.161.23.204,,,ns1.dnsowl.com,,,,
Replacement,googl4.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Replacement,goozle.com,50.62.97.1,,smtp.secureserver.net,ns29.domaincontrol.com,,,,
Replacement,googlr.com,216.58.221.36,2404:6800:4002:806::2004,,ns1.google.com,,,,
Replacement,googl3.com,,,smtp.secureserver.net,ns25.domaincontrol.com,,,,
Replacement,googoe.com,208.73.210.202,,,ns1.dsredirection.com,,,,
Replacement,googpe.com,54.235.212.68,,mail.googpe.com,ns1.pql.net,,,,
Replacement,gooble.com,,,,,,,,
Replacement,googls.com,104.237.196.116,,,ns1.domainmx.com,,,,
Replacement,gootle.com,208.73.210.202,,,ns1.dsredirection.com,,,,
Replacement,yoogle.com,127.0.0.1,,localhost,ns1.sedoparking.com,,,,
Replacement,googlz.com,141.8.224.195,,,ns1.dsredirects.com,,,,
Replacement,googke.com,,,,ns1.googledomains.com,,,,
Replacement,goovle.com,37.48.65.152,,,ns1.wombatdns.com,,,,
Replacement,gpogle.com,162.222.213.198,,,ns1.brainydns.com,,,,
Replacement,voogle.com,,,,,,,,
Replacement,go9gle.com,72.52.4.119,,localhost,ns1.sedoparking.com,,,,
Replacement,gooyle.com,208.73.210.202,,,ns1.dsredirection.com,,,,
Replacement,zoogle.com,184.168.131.241,,smtp.secureserver.net,ns53.domaincontrol.com,,,,
Replacement,boogle.com,23.92.19.32,,mail.boogle.com,ns1.linode.com,,,,
Replacement,gopgle.com,95.211.219.67,,,ns1.hastydns.com,,,,
Subdomain,g.oogle.com,,,,,,,,
Subdomain,go.ogle.com,,,,,,,,
Subdomain,goo.gle.com,69.172.201.153,,,ns1.uniregistrymarket.link,,,,
Subdomain,goog.le.com,,,,,,,,
Subdomain,googl.e.com,,,,,,,,
Transposition,ogogle.com,216.58.221.36,2404:6800:4002:804::2004,,ns1.google.com,,,,
Transposition,gogole.com,172.217.161.4,2404:6800:4002:802::2004,,ns1.google.com,,,,
Transposition,goolge.com,172.217.167.4,2404:6800:4002:803::2004,,ns1.google.com,,,,
Transposition,googel.com,172.217.166.196,2404:6800:4002:80a::2004,,ns1.google.com,,,,
Various,wwgoogle.com,37.48.65.144,,,ns1.quokkadns.com,,,,
Various,wwwgoogle.com,172.217.24.228,2404:6800:4002:806::2004,,ns1.google.com,,,,
Various,www-google.com,184.168.27.39,,,pdns01.domaincontrol.com,,,,
Various,googlecom.com,172.217.160.228,2404:6800:4002:803::2004,,ns1.google.com,,,,
